
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: lvis                    
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 2                       
|                nshot: 5                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/lvis_5shot/fold2 
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.9                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.85                    
|       box_nms_thresh: 0.65                    
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 1                       
|     multimask_output: 1                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: True                    
|         sample_range: (1, 6)                  
| max_sample_iterations: 64                      
|                alpha: 1.0                     
|                 beta: 0.0                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.02                    
|      coverage_filter: 0.0                     
|     use_score_filter: True                    
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.0                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0022/2300] mIoU: 17.26  |  FB-IoU: 74.18 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0023/2300] mIoU: 17.78  |  FB-IoU: 74.29 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0024/2300] mIoU: 18.25  |  FB-IoU: 74.07 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0025/2300] mIoU: 19.65  |  FB-IoU: 77.09 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0026/2300] mIoU: 21.04  |  FB-IoU: 78.34 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0027/2300] mIoU: 21.98  |  FB-IoU: 78.43 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0028/2300] mIoU: 22.00  |  FB-IoU: 77.58 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0029/2300] mIoU: 22.12  |  FB-IoU: 77.64 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0030/2300] mIoU: 22.75  |  FB-IoU: 77.70 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0031/2300] mIoU: 23.98  |  FB-IoU: 77.83 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0032/2300] mIoU: 25.38  |  FB-IoU: 78.54 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0033/2300] mIoU: 26.79  |  FB-IoU: 79.35 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0034/2300] mIoU: 28.20  |  FB-IoU: 79.81 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0035/2300] mIoU: 29.10  |  FB-IoU: 79.82 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0036/2300] mIoU: 30.48  |  FB-IoU: 80.16 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0037/2300] mIoU: 30.91  |  FB-IoU: 80.13 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0038/2300] mIoU: 30.92  |  FB-IoU: 78.20 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0039/2300] mIoU: 31.06  |  FB-IoU: 78.25 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0040/2300] mIoU: 31.24  |  FB-IoU: 76.12 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
[Batch: 0041/2300] mIoU: 31.26  |  FB-IoU: 76.09 |  0: 93.01    |  1: 46.53    |  2: 16.27    |  3:  0.00    |  4: 70.67    |  5: 41.20    |  6: 74.66    |  7: 84.57    |  8: 76.28    |  9: 36.68    |  10: 87.98    |  11: 97.95    |  12:  9.67    |  13: 80.49    |  14: 30.72    |  15: 87.39    |  16: 32.23    |  17: 24.93    |  18:  2.91    |  19: 94.81   
