
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: deepglobe               
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 0                       
|                nshot: 5                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/deepglobe_5shot/fold0
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: False                   
|         sample_range: (4, 6)                  
| max_sample_iterations: 30                      
|                alpha: 0.8                     
|                 beta: 0.2                     
|                  exp: 1.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.0                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 10                      
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0061/0600] mIoU: 53.76  |  FB-IoU: 56.70 |  0: 48.31    |  1: 59.25    |  2: 28.42    |  3: 78.80    |  4: 54.36    |  5: 53.42   
[Batch: 0062/0600] mIoU: 53.81  |  FB-IoU: 56.77 |  0: 48.31    |  1: 59.54    |  2: 28.42    |  3: 78.80    |  4: 54.36    |  5: 53.42   
[Batch: 0063/0600] mIoU: 54.01  |  FB-IoU: 56.87 |  0: 48.31    |  1: 59.54    |  2: 29.62    |  3: 78.80    |  4: 54.36    |  5: 53.42   
[Batch: 0064/0600] mIoU: 53.80  |  FB-IoU: 56.85 |  0: 48.31    |  1: 59.54    |  2: 29.62    |  3: 77.53    |  4: 54.36    |  5: 53.42   
[Batch: 0065/0600] mIoU: 54.46  |  FB-IoU: 57.34 |  0: 48.31    |  1: 59.54    |  2: 29.62    |  3: 77.53    |  4: 58.33    |  5: 53.42   
[Batch: 0066/0600] mIoU: 54.73  |  FB-IoU: 57.30 |  0: 48.31    |  1: 59.54    |  2: 29.62    |  3: 77.53    |  4: 58.33    |  5: 55.06   
[Batch: 0067/0600] mIoU: 54.34  |  FB-IoU: 57.09 |  0: 45.95    |  1: 59.54    |  2: 29.62    |  3: 77.53    |  4: 58.33    |  5: 55.06   
[Batch: 0068/0600] mIoU: 53.99  |  FB-IoU: 56.80 |  0: 45.95    |  1: 57.42    |  2: 29.62    |  3: 77.53    |  4: 58.33    |  5: 55.06   
[Batch: 0069/0600] mIoU: 54.58  |  FB-IoU: 56.91 |  0: 45.95    |  1: 57.42    |  2: 33.17    |  3: 77.53    |  4: 58.33    |  5: 55.06   
[Batch: 0070/0600] mIoU: 54.29  |  FB-IoU: 56.79 |  0: 45.95    |  1: 57.42    |  2: 33.17    |  3: 75.80    |  4: 58.33    |  5: 55.06   
[Batch: 0071/0600] mIoU: 54.33  |  FB-IoU: 57.11 |  0: 45.95    |  1: 57.42    |  2: 33.17    |  3: 75.80    |  4: 58.57    |  5: 55.06   
[Batch: 0072/0600] mIoU: 54.25  |  FB-IoU: 57.04 |  0: 45.95    |  1: 57.42    |  2: 33.17    |  3: 75.80    |  4: 58.57    |  5: 54.58   
[Batch: 0073/0600] mIoU: 54.61  |  FB-IoU: 56.95 |  0: 48.12    |  1: 57.42    |  2: 33.17    |  3: 75.80    |  4: 58.57    |  5: 54.58   
[Batch: 0074/0600] mIoU: 54.58  |  FB-IoU: 56.92 |  0: 48.12    |  1: 57.24    |  2: 33.17    |  3: 75.80    |  4: 58.57    |  5: 54.58   
[Batch: 0075/0600] mIoU: 54.65  |  FB-IoU: 56.72 |  0: 48.12    |  1: 57.24    |  2: 33.56    |  3: 75.80    |  4: 58.57    |  5: 54.58   
[Batch: 0076/0600] mIoU: 54.24  |  FB-IoU: 56.60 |  0: 48.12    |  1: 57.24    |  2: 33.56    |  3: 73.35    |  4: 58.57    |  5: 54.58   
[Batch: 0077/0600] mIoU: 54.07  |  FB-IoU: 56.83 |  0: 48.12    |  1: 57.24    |  2: 33.56    |  3: 73.35    |  4: 57.57    |  5: 54.58   
