
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: isic                    
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 0                       
|                nshot: 5                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/isic_5shot/fold0 
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: False                   
| use_points_or_centers: False                   
|         sample_range: (4, 6)                  
| max_sample_iterations: 30                      
|                alpha: 0.8                     
|                 beta: 0.2                     
|                  exp: 1.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.0                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 10                      
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0050/0600] mIoU: 52.86  |  FB-IoU: 66.02 |  0: 59.26    |  1: 54.92    |  2: 44.38   
[Batch: 0051/0600] mIoU: 52.60  |  FB-IoU: 65.87 |  0: 59.26    |  1: 54.92    |  2: 43.62   
[Batch: 0052/0600] mIoU: 52.56  |  FB-IoU: 66.05 |  0: 59.13    |  1: 54.92    |  2: 43.62   
[Batch: 0053/0600] mIoU: 52.08  |  FB-IoU: 65.61 |  0: 59.13    |  1: 53.48    |  2: 43.62   
[Batch: 0054/0600] mIoU: 52.08  |  FB-IoU: 65.82 |  0: 59.13    |  1: 53.48    |  2: 43.62   
[Batch: 0055/0600] mIoU: 52.68  |  FB-IoU: 66.21 |  0: 60.93    |  1: 53.48    |  2: 43.62   
[Batch: 0056/0600] mIoU: 53.20  |  FB-IoU: 66.62 |  0: 60.93    |  1: 55.06    |  2: 43.62   
[Batch: 0057/0600] mIoU: 52.00  |  FB-IoU: 65.64 |  0: 60.93    |  1: 55.06    |  2: 40.02   
[Batch: 0058/0600] mIoU: 53.24  |  FB-IoU: 66.37 |  0: 64.64    |  1: 55.06    |  2: 40.02   
[Batch: 0059/0600] mIoU: 53.07  |  FB-IoU: 66.37 |  0: 64.64    |  1: 54.56    |  2: 40.02   
[Batch: 0060/0600] mIoU: 53.27  |  FB-IoU: 66.25 |  0: 64.64    |  1: 54.56    |  2: 40.61   
[Batch: 0061/0600] mIoU: 53.59  |  FB-IoU: 66.54 |  0: 65.58    |  1: 54.56    |  2: 40.61   
[Batch: 0062/0600] mIoU: 53.86  |  FB-IoU: 66.84 |  0: 65.58    |  1: 55.38    |  2: 40.61   
[Batch: 0063/0600] mIoU: 53.95  |  FB-IoU: 67.00 |  0: 65.58    |  1: 55.38    |  2: 40.90   
[Batch: 0064/0600] mIoU: 54.09  |  FB-IoU: 67.23 |  0: 66.00    |  1: 55.38    |  2: 40.90   
[Batch: 0065/0600] mIoU: 54.05  |  FB-IoU: 67.08 |  0: 66.00    |  1: 55.24    |  2: 40.90   
[Batch: 0066/0600] mIoU: 53.67  |  FB-IoU: 66.70 |  0: 66.00    |  1: 55.24    |  2: 39.77   
[Batch: 0067/0600] mIoU: 53.67  |  FB-IoU: 66.83 |  0: 66.01    |  1: 55.24    |  2: 39.77   
[Batch: 0068/0600] mIoU: 52.53  |  FB-IoU: 65.58 |  0: 66.01    |  1: 51.81    |  2: 39.77   
[Batch: 0069/0600] mIoU: 51.42  |  FB-IoU: 64.55 |  0: 66.01    |  1: 51.81    |  2: 36.45   
[Batch: 0070/0600] mIoU: 51.57  |  FB-IoU: 64.80 |  0: 66.44    |  1: 51.81    |  2: 36.45   
[Batch: 0071/0600] mIoU: 51.69  |  FB-IoU: 64.98 |  0: 66.44    |  1: 52.18    |  2: 36.45   
[Batch: 0072/0600] mIoU: 51.63  |  FB-IoU: 64.90 |  0: 66.44    |  1: 52.18    |  2: 36.27   
