
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: pascal_part             
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 1                       
|                nshot: 1                       
|             img_size: 1024                    
| use_original_imgsize: False                   
|             log_root: output/pascal_part/fold1
|            visualize: 0                       
|          dinov2_size: vit_large               
|             sam_size: vit_h                   
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|     use_semantic_sam: False                   
| semantic_sam_weights: models/swint_only_sam_many2many.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: True                    
| use_points_or_centers: True                    
|         sample_range: (3, 6)                  
| max_sample_iterations: 128                     
|                alpha: 0.5                     
|                 beta: 0.5                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.3                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 1
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0065/0959] mIoU: 54.33  |  FB-IoU: 58.84 |  0: 60.06    |  1: 62.14    |  2: 36.27    |  3: 58.84   
[Batch: 0066/0959] mIoU: 54.39  |  FB-IoU: 59.10 |  0: 60.06    |  1: 62.38    |  2: 36.27    |  3: 58.84   
[Batch: 0067/0959] mIoU: 54.96  |  FB-IoU: 59.39 |  0: 60.06    |  1: 62.38    |  2: 38.54    |  3: 58.84   
[Batch: 0068/0959] mIoU: 55.32  |  FB-IoU: 59.72 |  0: 60.06    |  1: 62.38    |  2: 38.54    |  3: 60.28   
[Batch: 0069/0959] mIoU: 55.56  |  FB-IoU: 59.85 |  0: 61.04    |  1: 62.38    |  2: 38.54    |  3: 60.28   
[Batch: 0070/0959] mIoU: 55.77  |  FB-IoU: 59.97 |  0: 61.04    |  1: 63.23    |  2: 38.54    |  3: 60.28   
[Batch: 0071/0959] mIoU: 56.01  |  FB-IoU: 60.36 |  0: 61.04    |  1: 63.23    |  2: 39.50    |  3: 60.28   
[Batch: 0072/0959] mIoU: 56.62  |  FB-IoU: 60.81 |  0: 61.04    |  1: 63.23    |  2: 39.50    |  3: 62.71   
[Batch: 0073/0959] mIoU: 56.51  |  FB-IoU: 60.70 |  0: 60.59    |  1: 63.23    |  2: 39.50    |  3: 62.71   
[Batch: 0074/0959] mIoU: 56.67  |  FB-IoU: 60.95 |  0: 60.59    |  1: 63.89    |  2: 39.50    |  3: 62.71   
[Batch: 0075/0959] mIoU: 57.08  |  FB-IoU: 61.29 |  0: 60.59    |  1: 63.89    |  2: 41.12    |  3: 62.71   
[Batch: 0076/0959] mIoU: 57.45  |  FB-IoU: 61.68 |  0: 60.59    |  1: 63.89    |  2: 41.12    |  3: 64.21   
[Batch: 0077/0959] mIoU: 57.77  |  FB-IoU: 62.02 |  0: 61.84    |  1: 63.89    |  2: 41.12    |  3: 64.21   
[Batch: 0078/0959] mIoU: 57.47  |  FB-IoU: 61.85 |  0: 61.84    |  1: 62.70    |  2: 41.12    |  3: 64.21   
[Batch: 0079/0959] mIoU: 57.47  |  FB-IoU: 62.08 |  0: 61.84    |  1: 62.70    |  2: 41.13    |  3: 64.21   
[Batch: 0080/0959] mIoU: 57.25  |  FB-IoU: 61.97 |  0: 61.84    |  1: 62.70    |  2: 41.13    |  3: 63.33   
[Batch: 0081/0959] mIoU: 56.98  |  FB-IoU: 61.48 |  0: 60.74    |  1: 62.70    |  2: 41.13    |  3: 63.33   
[Batch: 0082/0959] mIoU: 57.22  |  FB-IoU: 61.60 |  0: 60.74    |  1: 63.67    |  2: 41.13    |  3: 63.33   
[Batch: 0083/0959] mIoU: 57.56  |  FB-IoU: 61.87 |  0: 60.74    |  1: 63.67    |  2: 42.49    |  3: 63.33   
[Batch: 0084/0959] mIoU: 57.82  |  FB-IoU: 62.06 |  0: 60.74    |  1: 63.67    |  2: 42.49    |  3: 64.37   
[Batch: 0085/0959] mIoU: 58.02  |  FB-IoU: 62.27 |  0: 61.55    |  1: 63.67    |  2: 42.49    |  3: 64.37   
[Batch: 0086/0959] mIoU: 57.32  |  FB-IoU: 61.73 |  0: 61.55    |  1: 60.89    |  2: 42.49    |  3: 64.37   
[Batch: 0087/0959] mIoU: 57.59  |  FB-IoU: 62.01 |  0: 61.55    |  1: 60.89    |  2: 43.56    |  3: 64.37   
[Batch: 0088/0959] mIoU: 57.12  |  FB-IoU: 61.74 |  0: 61.55    |  1: 60.89    |  2: 43.56    |  3: 62.48   
[Batch: 0089/0959] mIoU: 57.43  |  FB-IoU: 61.96 |  0: 62.78    |  1: 60.89    |  2: 43.56    |  3: 62.48   
[Batch: 0090/0959] mIoU: 57.44  |  FB-IoU: 62.07 |  0: 62.78    |  1: 60.95    |  2: 43.56    |  3: 62.48   
[Batch: 0091/0959] mIoU: 57.91  |  FB-IoU: 62.34 |  0: 62.78    |  1: 60.95    |  2: 45.44    |  3: 62.48   
[Batch: 0092/0959] mIoU: 57.99  |  FB-IoU: 62.46 |  0: 62.78    |  1: 60.95    |  2: 45.44    |  3: 62.77   
[Batch: 0093/0959] mIoU: 58.31  |  FB-IoU: 62.75 |  0: 64.08    |  1: 60.95    |  2: 45.44    |  3: 62.77   
[Batch: 0094/0959] mIoU: 58.29  |  FB-IoU: 62.85 |  0: 64.08    |  1: 60.86    |  2: 45.44    |  3: 62.77   
[Batch: 0095/0959] mIoU: 58.55  |  FB-IoU: 63.13 |  0: 64.08    |  1: 60.86    |  2: 46.48    |  3: 62.77   
[Batch: 0096/0959] mIoU: 58.10  |  FB-IoU: 62.75 |  0: 64.08    |  1: 60.86    |  2: 46.48    |  3: 60.98   
[Batch: 0097/0959] mIoU: 58.23  |  FB-IoU: 62.97 |  0: 64.62    |  1: 60.86    |  2: 46.48    |  3: 60.98   
[Batch: 0098/0959] mIoU: 57.99  |  FB-IoU: 62.79 |  0: 64.62    |  1: 59.88    |  2: 46.48    |  3: 60.98   
[Batch: 0099/0959] mIoU: 58.03  |  FB-IoU: 63.03 |  0: 64.62    |  1: 59.88    |  2: 46.65    |  3: 60.98   
[Batch: 0100/0959] mIoU: 58.41  |  FB-IoU: 63.32 |  0: 64.62    |  1: 59.88    |  2: 46.65    |  3: 62.48   
[Batch: 0101/0959] mIoU: 58.58  |  FB-IoU: 63.57 |  0: 65.31    |  1: 59.88    |  2: 46.65    |  3: 62.48   
[Batch: 0102/0959] mIoU: 58.73  |  FB-IoU: 63.73 |  0: 65.31    |  1: 60.48    |  2: 46.65    |  3: 62.48   
[Batch: 0103/0959] mIoU: 58.98  |  FB-IoU: 63.80 |  0: 65.31    |  1: 60.48    |  2: 47.64    |  3: 62.48   
[Batch: 0104/0959] mIoU: 58.42  |  FB-IoU: 63.38 |  0: 65.31    |  1: 60.48    |  2: 47.64    |  3: 60.26   
